과목명,학년,구분,개설학과,시수,과목코드,교수,시간
중국어 교육과정 및 교재연구,4,전공(심화),인문대학 중어중문학과,2/2/0,1105-4010,김선희,금11:00~13:00(인0119)
미래설계상담1,1,전공(기초),인문대학 일어일문학과,0/0/0,1100-1001,금종애,
일본의이해1,1,전공(기초),인문대학 일어일문학과,3/3/0,1106-1003,윤혜영,화10:00~12:00(인0233)| 수15:00~16:00(인0233)
일본어문장표현연습1,1,전공(기초),인문대학 일어일문학과,3/3/0,1106-1004,도현아,월13:00~14:00(인0233)| 목10:00~12:00(인0233)
기초일본어,1,전공(핵심),인문대학 일어일문학과,3/3/0,1106-1007,금종애,월14:00~16:00(인0233)| 목14:00~15:00(인0233)
생활일본어1,1,,인문대학 일어일문학과,3/3/0,1106-7001,이지숙,화16:30~18:00(교202A)| 목15:00~16:30(교202A)
생활일본어1,1,,인문대학 일어일문학과,3/3/0,1106-7001,도현아,월15:00~16:30(교202A)| 목16:30~18:00(교202A)
일본문화,1,,인문대학 일어일문학과,3/3/0,1106-7003,김은영,월12:00~13:30(교307)| 목13:30~15:00(교307)
일본문화,1,,인문대학 일어일문학과,3/3/0,1106-7003,이혜인,화13:30~15:00(교404A)| 목12:00~13:30(교106A)
일본문화,1,,인문대학 일어일문학과,3/3/0,1106-7003,박유미,화16:30~18:00(교106A)| 목10:30~12:00(교408)
일본문화,1,,인문대학 일어일문학과,3/3/0,1106-7003,김학순,수13:30~15:00(교307)| 금12:00~13:30(교307)
미디어로 배우는 일본어,1,,인문대학 일어일문학과,3/3/0,1106-7005,김은모,화12:00~13:30(교404A)| 금13:30~15:00(교301)
미래설계상담3,2,전공(기초),인문대학 일어일문학과,0/0/0,1100-2001,금종애,
일문학개론,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2003,윤혜영,화14:00~16:00(인0233)| 수16:00~17:00(인0233)
일본어강독1,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2004,박미경,수12:00~13:00(인0109)| 목12:00~14:00(인0109)
현대일본어문법,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2007,금종애,월16:00~17:00(인0233)| 목15:00~17:00(인0233)
초급일본어회화1,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2010,임성숙,월17:00~18:00(인0233)| 수13:00~15:00(인0233)
일본의대중문화,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2016,이혜인,화16:00~18:00(인0233)| 목11:00~12:00(인0109)
일본사회와 서브컬처,2,전공(핵심),인문대학 일어일문학과,3/3/0,1106-2020,김학순,화13:00~14:00(인0233)| 수10:00~12:00(인0233)
미래설계상담5,3,전공(기초),인문대학 일어일문학과,0/0/0,1100-3001,금종애,
미래설계상담6,3,전공(기초),인문대학 일어일문학과,0/0/0,1100-3002,금종애,
중급일본어회화1,3,전공(핵심),인문대학 일어일문학과,3/3/0,1106-3009,임성숙,월11:00~13:00(인0233)| 수12:00~13:00(인0233)
인물로보는일본문화,3,전공(핵심),인문대학 일어일문학과,3/3/0,1106-3017,김은영,월14:00~16:00(인0109)| 목12:00~13:00(인0233)
비즈니스무역일본어,3,전공(심화),인문대학 일어일문학과,3/3/0,1106-3018,임성숙,월16:00~17:00(인0109)| 화15:00~17:00(인0109)
일본근현대문학감상,3,전공(심화),인문대학 일어일문학과,3/3/0,1106-3022,이지숙,화13:00~15:00(인0109)| 목13:00~14:00(인0233)
일본어교육과정및교재연구,3,전공(심화),인문대학 일어일문학과,2/2/0,1106-3024,박미경,금10:00~12:00(인0109)
일본어통역연습,4,전공(심화),인문대학 일어일문학과,3/3/0,1106-4006,임성숙,월13:00~14:00(인0109)| 화11:00~13:00(인0109)
일본의기업론,4,전공(심화),인문대학 일어일문학과,3/3/0,1106-4007,이문호,월14:00~17:00(인0131)
일본어논술,4,전공(심화),인문대학 일어일문학과,2/2/0,1106-4012,박미경,월11:00~13:00(인0109)
미래설계상담1,1,전공(기초),인문대학 한문학과,0/0/0,1100-1001,조정윤,
한문의기초,1,전공(기초),인문대학 한문학과,3/3/0,1107-1003,연민희,월11:00~12:00(인0230)| 수09:00~11:00(인0230)
한문입문,1,전공(기초),인문대학 한문학과,3/3/0,1107-1004,조정윤,화14:00~16:00(인0230)| 목11:00~12:00(인0230)
한문고전과삶의지혜,1,,인문대학 한문학과,3/3/0,1107-7001,김미란,월13:30~15:00(교404A)| 수12:00~13:30(교404A)
한문고전과삶의지혜,1,,인문대학 한문학과,3/3/0,1107-7001,이송희,화13:30~15:00(교407)| 목12:00~13:30(교407)
한문고전과삶의지혜,1,,인문대학 한문학과,3/3/0,1107-7001,권은지,수16:30~18:00(교404A)| 금15:00~16:30(교404A)
한문고전과삶의지혜,1,,인문대학 한문학과,3/3/0,1107-7001,이남면,월12:00~13:30(교404A)| 목13:30~15:00(교404A)
기초한문,1,,인문대학 한문학과,3/3/0,1107-7002,조정윤,화10:30~12:00(교202A)| 목09:00~10:30(교202A)
기초한문,1,,인문대학 한문학과,3/3/0,1107-7002,안정은,월12:00~13:30(교202A)| 목13:30~15:00(교202A)
기초한문,1,,인문대학 한문학과,3/3/0,1107-7002,임혜리,화12:00~13:30(교202A)| 금13:30~15:00(교202A)
동양고전과리더쉽,1,,인문대학 한문학과,3/3/0,1107-7003,김미란,월09:00~10:30(교407)| 목10:30~12:00(교407)
전통사회의프로페셔널,1,,인문대학 한문학과,3/3/0,1107-7004,이명희,화15:00~16:30(교407)| 금16:30~18:00(교407)
대학생활과 진로설계,1,교양(공통기초),인문대학 한문학과,1/1/0,1107-7007,조정윤,수17:00~18:00(인0230)
미래설계상담3,2,전공(기초),인문대학 한문학과,0/0/0,1100-2001,이향배,
한문학개론,2,전공(기초),인문대학 한문학과,3/3/0,1107-2001,이향배,화14:00~15:00(인0126)| 목09:00~11:00(인0230)
한자론,2,전공(기초),인문대학 한문학과,3/3/0,1107-2004,이남면,월10:00~11:00(인0230)| 수11:00~13:00(인0230)
중국한시강독,2,전공(심화),인문대학 한문학과,3/3/0,1107-2006,이재숙,수13:00~14:00(인0126)| 목11:00~13:00(인0126)
논어강독 2,2,전공(기초),인문대학 한문학과,3/3/0,1107-2007,정만호,화15:00~16:00(인0126)| 목14:00~16:00(인0126)
맹자강독 1,2,전공(핵심),인문대학 한문학과,3/3/0,1107-2008,이남면,화09:00~10:00(인0230)| 목16:00~18:00(인0230)
한국산문강독,2,전공(심화),인문대학 한문학과,3/3/0,1107-2011,이명희,월11:00~13:00(인0126)| 수17:00~18:00(인0126)
미래설계상담5,3,전공(기초),인문대학 한문학과,0/0/0,1100-3001,이향배,
한문학비평,3,전공(핵심),인문대학 한문학과,3/3/0,1107-3002,이향배,화10:00~12:00(인0230)| 목15:00~16:00(인0230)
경서특강,3,전공(심화),인문대학 한문학과,3/3/0,1107-3003,이현중,월16:00~18:00(인0126)| 화13:00~14:00(인0126)
고전번역이론과실습,3,전공(심화),인문대학 한문학과,3/3/0,1107-3009,이재숙,화12:00~13:00(인0126)| 수11:00~13:00(인0126)
한문소설론,3,전공(핵심),인문대학 한문학과,3/3/0,1107-3013,임영길,월09:00~10:00(인0230)| 목16:00~18:00(인0126)
한문교수법 및 평가,3,전공(심화),인문대학 한문학과,2/2/0,1107-3018,송영일,수09:00~11:00(인0126)
디지털콘텐츠개론,3,전공(핵심),인문대학 한문학과,3/3/0,1107-3023,민경주,월13:00~14:00(인0230)| 수14:00~16:00(인0230)
디지털지역문화콘텐츠,3,전공(심화),인문대학 한문학과,3/3/0,1107-3024,이병찬,월14:00~16:00(인0230)| 수16:00~17:00(인0230)
한문교육과정 및 교재연구,4,전공(심화),인문대학 한문학과,2/2/0,1107-4012,송영일,금10:00~12:00(인0126)
지역문화유산의이해,4,전공(핵심),인문대학 한문학과,3/3/0,1107-4018,정만호,화16:00~17:00(인0126)| 목09:00~11:00(인0126)
음성학,1,전공(핵심),인문대학 언어학과,3/3/0,1108-1001,성철재,화11:00~13:00(인0102)| 금09:00~10:00(인0102)
언어학개론,1,전공(기초),인문대학 언어학과,3/3/0,1108-1005,윤수연,월13:30~15:00(인0102)| 수09:30~11:00(인0102)
언어커뮤니케이션,1,,인문대학 언어학과,3/3/0,1108-7001,인지영,화15:00~16:00(인0102)| 목15:00~17:00(인0102)
의사소통과장애,1,,인문대학 언어학과,3/3/0,1108-7007,신상은,화16:00~18:00(교103A)| 목17:00~18:00(교103A)
세계의언어|언어의세계,1,,인문대학 언어학과,3/3/0,1108-7008,윤수연,화13:00~15:00(교213)| 목14:00~15:00(교213)
대학생활과 진로설계,1,교양(공통기초),인문대학 언어학과,1/1/0,1108-7009,신상은,금14:00~15:00(인0128)
미래설계상담2,2,전공(기초),인문대학 언어학과,0/0/0,1100-1002,노용균,
언어와논리,2,전공(심화),인문대학 언어학과,3/3/0,1108-2003,노용균,월11:00~12:00(인0128)| 화15:00~16:00(인0128)| 목14:00~15:00(인0128)
통사론,2,전공(핵심),인문대학 언어학과,3/3/0,1108-2004,류병래,월12:00~13:00(인0128)| 목15:00~17:00(인0128)
언어학 고전 강독,2,전공(심화),인문대학 언어학과,3/3/0,1108-2008,강아름,화13:00~15:00(인0128)| 목12:00~13:00(인0128)
음성데이터통계분석,2,전공(심화),인문대학 언어학과,3/3/0,1108-2014,성철재,월09:00~10:00(인0251)| 수15:00~17:00(인0251)
코퍼스언어학: 이론과 실제,2,전공(심화),인문대학 언어학과,3/3/0,1520-2001,이용훈,월17:00~18:30(인0246)| 목17:00~18:30(인0246)
미래설계상담4,3,전공(기초),인문대학 언어학과,0/0/0,1100-2002,노용균,
의미론,3,전공(핵심),인문대학 언어학과,3/3/0,1108-3004,강아름,수13:00~14:00(인0128)| 금10:00~12:00(인0128)
문법이론,3,전공(핵심),인문대학 언어학과,3/3/0,1108-3012,류병래,월10:00~11:00(인0128)| 수10:00~12:00(인0128)
미래설계상담6,4,전공(기초),인문대학 언어학과,0/0/0,1100-3002,노용균,
언어학연습,4,전공(심화),인문대학 언어학과,3/3/0,1108-4006,강아름,월13:00~15:00(인0128)| 목09:00~10:00(인0128)
의사소통장애개론,4,전공(심화),인문대학 언어학과,3/3/0,1108-4012,신상은,화10:00~13:00(인0128)
미래설계상담1,1,전공(기초),인문대학 사학과,0/0/0,1100-1001,고명수,
서양사개설,1,전공(기초),인문대학 사학과,3/3/0,1109-1001,허현,월10:00~12:00(인0238)| 화14:00~15:00(인0238)
역사학입문,1,전공(심화),인문대학 사학과,3/3/0,1109-1002,박윤덕,월15:00~17:00(인0238)| 목14:00~15:00(인0238)
세계사속의 한국사,1,전공(핵심),인문대학 사학과,3/3/0,1109-1004,원재린,수10:00~13:00(인0236)
동양고전의 이해,1,전공(기초),인문대학 사학과,3/3/0,1109-1007,고명수,화17:00~18:00(인0236)| 목15:00~17:00(인0236)
처음 만나는 역사학,1,,인문대학 사학과,3/3/0,1109-7001,주나미,월12:00~13:30(교103A)| 목13:30~15:00(교103A)
역사와리더십,1,,인문대학 사학과,3/3/0,1109-7002,김준영,월12:00~13:30(교209A)| 목13:30~15:00(교209A)
역사와리더십,1,,인문대학 사학과,3/3/0,1109-7002,오지해,월09:00~10:30(교307)| 목10:30~12:00(교307)
역사와리더십,1,,인문대학 사학과,3/3/0,1109-7002,김준영,토13:00~16:00(다2354)
서양의 역사와 문화,1,,인문대학 사학과,3/3/0,1109-7004,오두영,월12:00~13:30(교204A)| 목13:30~15:00(교204A)
영상으로 보는 중국문화,1,,인문대학 사학과,3/3/0,1109-7005,오지해,월13:30~15:00(교307)| 수12:00~13:30(교307)
동양의 역사와 인물,1,,인문대학 사학과,3/3/0,1109-7006,박서진,수10:30~12:00(교202A)| 금09:00~10:30(교202A)
실크로드 문화 기행,1,,인문대학 사학과,3/3/0,1109-7007,이영선,수13:30~15:00(인0118)| 금12:00~13:30(인0118)
영상으로 보는 유럽문화,1,,인문대학 사학과,3/3/0,1109-7008,허현,화10:30~12:00(교307)| 목09:00~10:30(교307)
영상으로 보는 유럽문화,1,,인문대학 사학과,3/3/0,1109-7008,강미숙,월13:30~15:00(교407)| 수12:00~13:30(교407)
영상으로 보는 유럽문화,1,,인문대학 사학과,3/3/0,1109-7008,오두영,월15:00~16:30(교404A)| 목16:30~18:00(교404A)
영상으로 보는 유럽문화,1,,인문대학 사학과,3/3/0,1109-7008,강미숙,토13:00~16:00(다2358)
공학도를 위한 세계문화,1,,인문대학 사학과,3/3/0,1109-7009,김정은,화13:30~15:00(인0118)| 목12:00~13:30(인0118)
공학도를 위한 세계문화,1,,인문대학 사학과,3/3/0,1109-7009,김정은,화16:30~18:00(인0118)| 목15:00~16:30(인0118)
공학도를 위한 세계문화,1,,인문대학 사학과,3/3/0,1109-7009,김충현,화10:30~12:00(인0118)| 목09:00~10:30(인0118)
동양의문화와유산,1,,인문대학 사학과,3/3/0,1109-7010,오지해,월12:00~13:30(교301)| 목13:30~15:00(교301)
지중해문명기행,1,,인문대학 사학과,3/3/0,1109-7011,김충현,화16:30~18:00(교307)| 목15:00~16:30(교307)
동남아시아의역사와문화,1,,인문대학 사학과,3/3/0,1109-7012,이준형,월14:00~16:00(인0118)| 목17:00~18:00(인0118)
서양사의아웃사이더,1,,인문대학 사학과,3/3/0,1109-7015,김충현,월15:00~16:30(교209A)| 목16:30~18:00(교209A)
미래설계상담3,2,전공(기초),인문대학 사학과,0/0/0,1100-2001,고명수,
서양사사료선독,2,전공(핵심),인문대학 사학과,3/3/0,1109-2005,차전환,화15:00~17:00(인0236)| 목17:00~18:00(인0236)
중국제도의이해,2,전공(심화),인문대학 사학과,3/3/0,1109-2008,고명수,월16:00~17:00(인0236)| 수14:00~16:00(인0236)
프랑스의역사와문화,2,전공(핵심),인문대학 사학과,3/3/0,1109-2010,박윤덕,월14:00~15:00(인0238)| 목10:00~12:00(인0238)
동양고대문화기행,2,전공(핵심),인문대학 사학과,3/3/0,1109-2012,정순모,화10:00~12:00(인0236)| 목14:00~15:00(인0236)
일본고중세사,2,전공(핵심),인문대학 사학과,3/3/0,1109-2019,김은정,월13:00~14:00(인0238)| 수10:00~12:00(인0238)
미래설계상담5,3,전공(기초),인문대학 사학과,0/0/0,1100-3001,고명수,
동양근세사,3,전공(핵심),인문대학 사학과,3/3/0,1109-3002,김준영,월09:00~10:00(인0238)| 목16:00~18:00(인0238)
서양중세사의이해,3,전공(핵심),인문대학 사학과,3/3/0,1109-3008,주나미,화13:00~14:00(인0238)| 수14:00~16:00(인0238)
미국의역사와문화,3,전공(핵심),인문대학 사학과,3/3/0,1109-3009,허현,화15:00~17:00(인0238)| 목15:00~16:00(인0238)
일본사의이해,3,전공(심화),인문대학 사학과,3/3/0,1109-3013,김은정,화10:00~12:00(인0238)| 목13:00~14:00(인0238)
동양사회경제사,3,전공(심화),인문대학 사학과,3/3/0,1109-3016,정순모,화14:00~15:00(인0236)| 목10:00~12:00(인0236)
역사논술,3,전공(심화),인문대학 사학과,2/2/0,1109-3022,박소연,금11:00~13:00(인0236)
서양사경사,4,전공(심화),인문대학 사학과,3/3/0,1109-4003,차전환,월13:00~16:00(인0236)
서양현대사의이해,4,전공(심화),인문대학 사학과,3/3/0,1109-4005,주나미,수16:00~17:00(인0238)| 금10:00~12:00(인0238)
동양사세미나,4,전공(심화),인문대학 사학과,3/3/0,1109-4007,박서진,월10:00~12:00(인0236)| 화13:00~14:00(인0236)
역사교수법및평가,4,전공(심화),인문대학 사학과,2/2/0,1109-4014,박소연,금13:00~15:00(인0236)
미래설계상담1,1,전공(기초),인문대학 국사학과,0/0/0,1100-1001,이정란,
학술고적답사1,1,전공(기초),인문대학 국사학과,0/0/0,1110-1007,이정란,
고·중세사입문,1,전공(기초),인문대학 국사학과,3/3/0,1110-1009,이정란,화16:00~17:00(인0107)| 목14:00~16:00(인0107)
역사학과 영상,1,전공(핵심),인문대학 국사학과,3/3/0,1110-1011,박경목,수14:00~17:00(인0131)
한국의역사,1,,인문대학 국사학과,3/3/0,1110-7001,이기봉,월12:00~14:00(교104A)| 수11:00~12:00(교104A)
한국의역사,1,,인문대학 국사학과,3/3/0,1110-7001,이근호,화13:00~15:00(교104A)| 목14:00~15:00(교104A)
한국의역사,1,,인문대학 국사학과,3/3/0,1110-7001,이경동,수12:00~14:00(교105)| 금11:00~12:00(교105)
한국의역사,1,,인문대학 국사학과,3/3/0,1110-7001,김아네스,화09:00~10:00(인0122)| 목14:00~16:00(인0122)
한국의역사,1,,인문대학 국사학과,3/3/0,1110-7001,김난옥,화14:00~16:00(인0107)| 목09:00~10:00(인0107)
한국근현대사,1,,인문대학 국사학과,3/3/0,1110-7003,이성우,월16:00~18:00(인0118)| 목16:00~17:00(인0122)
한국근현대사,1,,인문대학 국사학과,3/3/0,1110-7003,박경목,화16:00~18:00(교104A)| 목17:00~18:00(교104A)
한국생활문화사,1,,인문대학 국사학과,3/3/0,1110-7004,이기봉,화12:00~14:00(교106A)| 수09:00~10:00(교106A)
인물로본한국사,1,,인문대학 국사학과,3/3/0,1110-7006,이양희,월12:00~14:00(교105)| 수11:00~12:00(교105)
인물로본한국사,1,,인문대학 국사학과,3/3/0,1110-7006,백미선,월14:00~16:00(교105)| 수10:00~11:00(교104A)
다시보는 독립운동,1,,인문대학 국사학과,3/3/0,1110-7007,이양희,월14:00~16:00(교101)| 수13:00~14:00(교101)
대학생활과 진로설계,1,교양(공통기초),인문대학 국사학과,1/1/0,1110-7008,이정란,목16:00~17:00(인0107)
미래설계상담3,2,전공(기초),인문대학 국사학과,0/0/0,1100-2001,이정란,
한국근대사,2,전공(핵심),인문대학 국사학과,3/3/0,1110-2006,박경목,월10:00~13:00(인0131)
한국사의제문제,2,전공(심화),인문대학 국사학과,3/3/0,1110-2008,이정란,월14:00~17:00(인0107)
한국고대사강독,2,전공(핵심),인문대학 국사학과,3/3/0,1110-2009,백미선,화13:00~14:00(인0107)| 목10:00~12:00(인0101)
한국근세사,2,전공(핵심),인문대학 국사학과,3/3/0,1110-2014,이근호,목15:00~18:00(인0131)
한국사회사,3,전공(심화),인문대학 국사학과,3/3/0,1110-3001,김아네스,목10:00~13:00(인0107)
한국현대사,3,전공(핵심),인문대학 국사학과,3/3/0,1110-3008,허종,화15:00~17:00(인0131)| 목09:00~10:00(인0131)
한국제도사,3,전공(심화),인문대학 국사학과,3/3/0,1110-3013,김난옥,화10:00~13:00(인0107)
한국근대사상사,3,전공(심화),인문대학 국사학과,3/3/0,1110-3018,이성우,금10:00~13:00(인0107)
미래설계상담6,4,전공(기초),인문대학 국사학과,0/0/0,1100-3002,이정란,
한국현대사특강,4,전공(심화),인문대학 국사학과,3/3/0,1110-4002,허종,수10:00~13:00(인0131)
한국근세사특강,4,전공(심화),인문대학 국사학과,3/3/0,1110-4017,이경동,수14:00~17:00(인0107)
미래설계상담1,1,전공(기초),인문대학 고고학과,0/0/0,1100-1001,황재훈,
고고학 개론,1,전공(기초),인문대학 고고학과,3/3/0,1111-1001,황재훈,월10:00~13:00(인0101)
세계의문화유산,1,,인문대학 고고학과,3/3/0,1111-7001,유용욱,수16:00~17:00(교111)| 금10:00~12:00(교111)
인류문명의 발생과 전개,1,,인문대학 고고학과,3/3/0,1111-7002,박양진,화15:00~16:00(교103A)| 목15:00~17:00(교103A)
고고학,1,,인문대학 고고학과,3/3/0,1111-7005,우재병,수11:00~12:00(교213)| 목12:00~14:00(교213)
미래설계상담3,2,전공(기초),인문대학 고고학과,0/0/0,1100-2001,황재훈,
한국 미술사 개론(고적답사포함),2,전공(기초),인문대학 고고학과,3/3/0,1111-2001,주경미,화14:00~17:00(인0101)
한국선사고고학(고적답사포함),2,전공(기초),인문대학 고고학과,3/3/0,1111-2005,유용욱,수10:00~13:00(인0101)
서양고고학강독,2,전공(심화),인문대학 고고학과,3/3/0,1111-2009,김은영,수15:00~18:00(인0101)
인류의 기원과 고고학,2,전공(핵심),인문대학 고고학과,3/3/0,1111-2013,유용욱,목09:00~10:00(인0101)| 금13:00~15:00(인0101)
미래설계상담5,3,전공(기초),인문대학 고고학과,0/0/0,1100-3001,황재훈,
한국민속학,3,전공(심화),인문대학 고고학과,3/3/0,1111-3003,김현영,화10:00~13:00(인0101)
백제고고학(고적답사포함),3,전공(핵심),인문대학 고고학과,3/3/0,1111-3006,이성준,월13:00~15:00(인0129)| 목13:00~14:00(인0129)
한국불교미술(고적답사포함),3,전공(심화),인문대학 고고학과,3/3/0,1111-3007,주경미,목14:00~17:00(인0101)
야외고고학,3,전공(심화),인문대학 고고학과,3/2/2,1111-3008,황재훈,화14:00~16:00(인0402)| 화16:00~18:00(인0402)
중국고고학개설,3,전공(핵심),인문대학 고고학과,3/3/0,1111-3009,박양진,금15:00~18:00(인0101)
일본고고학개설,3,전공(핵심),인문대학 고고학과,3/3/0,1111-3010,우재병,화13:00~14:00(인0101)| 수13:00~15:00(인0101)
청동기문화,4,전공(심화),인문대학 고고학과,3/3/0,1111-4001,황재훈,수15:00~18:00(인0129)
한국의성곽,4,전공(심화),인문대학 고고학과,3/3/0,1111-4004,이성준,수13:00~14:00(인0129)| 목10:00~12:00(인0129)
고고학연습,4,전공(심화),인문대학 고고학과,3/3/0,1111-4007,김현우,목14:00~17:00(인0129)
한국고대의기술,4,전공(심화),인문대학 고고학과,3/3/0,1111-4008,나건주,수10:00~13:00(인0129)
박물관학특강,4,전공(심화),인문대학 고고학과,3/3/0,1111-4009,이정은,월15:00~18:00(인0101)
미래설계상담1,1,전공(기초),인문대학 철학과,0/0/0,1100-1001,이윤철,
서양철학사,1,전공(핵심),인문대학 철학과,3/3/0,1112-1002,양해림,화09:00~11:00(인0123)| 수09:00~10:00(인0123)
논리와 비판적 사고,1,전공(핵심),인문대학 철학과,3/3/0,1112-1004,한대석,화12:00~13:00(인0130)| 목12:00~14:00(인0130)
유가철학과 사서의 이해,1,전공(핵심),인문대학 철학과,3/3/0,1112-1008,최정묵,월16:00~18:00(인0123)| 수15:00~16:00(인0123)
동양철학사,1,전공(핵심),인문대학 철학과,3/3/0,1112-1010,양선진,화16:00~17:00(인0123)| 수16:00~18:00(인0123)
논리와비판적사고,1,,인문대학 철학과,3/3/0,1112-7001,한대석,화10:00~12:00(교104A)| 목09:00~10:00(교104A)
논리와비판적사고,1,,인문대학 철학과,3/3/0,1112-7001,임윤정,월18:00~19:00(교101)| 화16:00~18:00(공5102)
논리와비판적사고,1,,인문대학 철학과,3/3/0,1112-7001,임윤정,화14:00~16:00(공5102)| 수09:00~10:00(교207)
논리와비판적사고,1,,인문대학 철학과,3/3/0,1112-7001,이진경,월10:00~12:00(교105)| 수09:00~10:00(교105)
논리와비판적사고,1,,인문대학 철학과,3/3/0,1112-7001,이진경,수14:00~15:00(교105)| 금13:00~15:00(교105)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,황수영,화12:00~13:30(공1401)| 금13:30~15:00(공1401)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,황수영,화13:30~15:00(공1108)| 목12:00~13:30(공1108)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,황수영,화10:30~12:00(공1108)| 목09:00~10:30(공1108)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,김경배,월15:00~16:30(공1401)| 목16:30~18:00(공1401)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,서원혁,월16:30~18:00(공1401)| 수15:00~16:30(공1401)
공학윤리,1,,인문대학 철학과,3/3/0,1112-7007,황수영,화16:30~18:00(공1108)| 목15:00~16:30(공1108)
영화 속 철학이야기,1,,인문대학 철학과,3/3/0,1112-7008,황인선,화13:00~15:00(교105)| 목14:00~15:00(교105)
영화 속 철학이야기,1,,인문대학 철학과,3/3/0,1112-7008,이언의,수16:00~18:00(교105)| 금15:00~16:00(교105)
사이버 공간과 윤리,1,,인문대학 철학과,3/3/0,1112-7010,최정묵,화11:00~12:00(교106A)| 목09:00~11:00(교106A)
사이버 공간과 윤리,1,,인문대학 철학과,3/3/0,1112-7010,김종수,수10:00~11:00(교106A)| 금09:00~11:00(교106A)
사이버 공간과 윤리,1,,인문대학 철학과,3/3/0,1112-7010,김경배,수16:00~18:00(교106A)| 금15:00~16:00(교106A)
사이버 공간과 윤리,1,,인문대학 철학과,3/3/0,1112-7010,서원혁,수13:00~14:00(교213)| 금14:00~16:00(교201)
사이버 공간과 윤리,1,,인문대학 철학과,3/3/0,1112-7010,서원혁,수11:00~12:00(교408)| 금12:00~14:00(교208)
성과 사랑의 철학,1,,인문대학 철학과,3/3/0,1112-7016,이진경,월16:00~18:00(교106A)| 수15:00~16:00(교106A)
성과 사랑의 철학,1,,인문대학 철학과,3/3/0,1112-7016,이영자,월09:00~10:00(교101)| 금16:00~18:00(교101)
오리엔탈 리더십,1,,인문대학 철학과,3/3/0,1112-7017,김승영,월16:00~18:00(교105)| 수15:00~16:00(교105)
테마로 본 철학산책,1,,인문대학 철학과,3/3/0,1112-7018,김방룡,화11:00~13:00(교101)| 목14:00~15:00(교208)
테마로 본 철학산책,1,,인문대학 철학과,3/3/0,1112-7018,김종수,월10:00~12:00(교408)| 수09:00~10:00(교408)
테마로 본 철학산책,1,,인문대학 철학과,3/3/0,1112-7018,이언의,수12:00~13:00(교210)| 금11:00~13:00(교210)
인권과 현대사회,1,,인문대학 철학과,3/3/0,1112-7019,김승영,화09:00~11:00(교106A)| 목11:00~12:00(교106A)
현대사회와생명윤리,1,,인문대학 철학과,3/3/0,1112-7021,황인선,수10:00~11:00(교105)| 금09:00~11:00(교105)
현대사회와생명윤리,1,,인문대학 철학과,3/3/0,1112-7021,황인선,월12:00~14:00(교106A)| 수11:00~12:00(교106A)
인문고전의철학적이해,1,,인문대학 철학과,3/3/0,1112-7024,이종성,수16:00~18:00(교101)| 금15:00~16:00(교101)
기초 고전 그리스어,1,,인문대학 철학과,3/3/0,1112-7026,이윤철,화14:00~16:00(교303B)| 수17:00~18:00(교306)
행복한 삶과 철학,1,,인문대학 철학과,3/3/0,1112-7027,양해림,월14:00~16:00(교103A)| 수14:00~15:00(교104A)
미래설계상담3,2,전공(기초),인문대학 철학과,0/0/0,1100-2001,이윤철,
형이상학,2,전공(핵심),인문대학 철학과,3/3/0,1112-2003,이윤철,목14:00~17:00(인0123)
유럽근세철학,2,전공(핵심),인문대학 철학과,3/3/0,1112-2005,김수배,월10:00~11:00(인0123)| 수10:00~12:00(인0123)
노자의 가르침과 삶의 지혜,2,전공(핵심),인문대학 철학과,3/3/0,1112-2006,이종성,목10:00~13:00(인0123)
주자의 도덕철학,2,전공(핵심),인문대학 철학과,3/3/0,1112-2009,최정묵,화14:00~16:00(인0123)| 목13:00~14:00(인0123)
갈등사회의 사회철학,2,전공(핵심),인문대학 철학과,3/3/0,1112-2011,양해림,월12:00~13:00(인0123)| 화11:00~13:00(인0123)
미래설계상담5,3,전공(기초),인문대학 철학과,0/0/0,1100-3001,이윤철,
분석철학,3,전공(심화),인문대학 철학과,3/3/0,1112-3001,한대석,월13:00~15:00(인0130)| 화13:00~14:00(인0130)
장자가 본 인간과 자연,3,전공(심화),인문대학 철학과,3/3/0,1112-3003,이종성,화14:00~17:00(인0130)
인권과 사회,3,전공(심화),인문대학 철학과,3/3/0,1112-3007,양해림,월10:00~12:00(인0130)| 수10:00~11:00(인0130)
선사상과 마음공부,3,전공(심화),인문대학 철학과,3/3/0,1112-3011,김방룡,화09:00~11:00(인0130)| 목09:00~10:00(인0130)
철학 논술,3,전공(심화),인문대학 철학과,2/2/0,1112-3014,허현숙,수16:00~18:00(인0130)
미학,4,전공(심화),인문대학 철학과,3/3/0,1112-4004,이윤철,수13:00~16:00(인0130)
한국불교사상,4,전공(심화),인문대학 철학과,3/3/0,1112-4016,김방룡,화17:00~18:00(인0130)| 목10:00~12:00(인0130)
